NAME,POSITION,TEAM,SALARY
Vince Carter, SG,Memphis Grizzlies,"$4,264,057.00 "
Devin Harris, PG,Dallas Mavericks,"$4,227,996.00 "
J.J. Barea, PG,Dallas Mavericks,"$4,096,950.00 "
Ben McLemore, SG,Sacramento Kings,"$4,008,882.00 "
Udonis Haslem, PF,Miami Heat,"$4,000,000.00 "
James Johnson, PF,Miami Heat,"$4,000,000.00 "
Leandro Barbosa, SG,Phoenix Suns,"$4,000,000.00 "
Jordan Hill, C,Minnesota Timberwolves,"$4,000,000.00 "
Kris Humphries, PF,Atlanta Hawks,"$4,000,000.00 "
Dante Exum, PG,Utah Jazz,"$3,940,320.00 "
Kyle O'Quinn, C,New York Knicks,"$3,918,750.00 "
Mario Hezonja, SG,Orlando Magic,"$3,909,840.00 "
Kris Dunn, PG,Minnesota Timberwolves,"$3,872,520.00 "
Thabo Sefolosha, SF,Atlanta Hawks,"$3,850,000.00 "
Nemanja Bjelica, PF,Minnesota Timberwolves,"$3,800,000.00 "
Nick Collison, PF,Oklahoma City Thunder,"$3,750,000.00 "
Bojan Bogdanovic, SG,Washington Wizards,"$3,730,653.00 "
Kentavious Caldwell-Pope, SG,Detroit Pistons,"$3,678,319.00 "
Quincy Pondexter, SG,New Orleans Pelicans,"$3,617,978.00 "
Patty Mills, PG,San Antonio Spurs,"$3,578,948.00 "
Marcus Smart, PG,Boston Celtics,"$3,578,880.00 "
Willie Cauley-Stein, C,Sacramento Kings,"$3,551,160.00 "
Drew Gooden, PF,Washington Wizards,"$3,547,000.00 "
Will Barton, SG,Denver Nuggets,"$3,533,333.00 "
Paul Pierce, SF,LA Clippers,"$3,527,920.00 "
Buddy Hield, SG,Sacramento Kings,"$3,517,200.00 "
Brandon Rush, SG,Minnesota Timberwolves,"$3,500,000.00 "
Mike Miller, SG,Denver Nuggets,"$3,500,000.00 "
Anthony Morrow, SG,Oklahoma City Thunder,"$3,488,000.00 "
Trey Burke, PG,Washington Wizards,"$3,386,598.00 "
Mike Scott, PF,Atlanta Hawks,"$3,333,334.00 "
KJ McDaniels, SG,Brooklyn Nets,"$3,333,333.00 "
Troy Daniels, SG,Memphis Grizzlies,"$3,332,940.00 "
Julius Randle, PF,Los Angeles Lakers,"$3,267,120.00 "
Emmanuel Mudiay, PG,Denver Nuggets,"$3,241,800.00 "
CJ McCollum, SG,Portland Trail Blazers,"$3,219,579.00 "
Jamal Murray, G,Denver Nuggets,"$3,210,840.00 "
Michael Carter-Williams, PG,Chicago Bulls,"$3,183,526.00 "
Steven Adams, C,Oklahoma City Thunder,"$3,140,517.00 "
Kelly Olynyk, C,Boston Celtics,"$3,094,014.00 "
Shabazz Muhammad, SF,Minnesota Timberwolves,"$3,046,299.00 "
Justin Hamilton, C,Brooklyn Nets,"$3,000,000.00 "
Tibor Pleiss, C,Philadelphia 76ers,"$3,000,000.00 "
Giannis Antetokounmpo, SF,Milwaukee Bucks,"$2,995,421.00 "
Nik Stauskas, SG,Philadelphia 76ers,"$2,993,040.00 "
Dante Cunningham, PF,New Orleans Pelicans,"$2,978,250.00 "
Stanley Johnson, SF,Detroit Pistons,"$2,969,880.00 "
Marquese Chriss, F,Phoenix Suns,"$2,941,440.00 "
Dion Waiters, SG,Miami Heat,"$2,898,000.00 "
James Ennis III, SF,Memphis Grizzlies,"$2,898,000.00 "
Nene Hilario, C,Houston Rockets,"$2,898,000.00 "
Mindaugas Kuzminskas, F,New York Knicks,"$2,898,000.00 "
Dewayne Dedmon, C,San Antonio Spurs,"$2,898,000.00 "
Tomas Satoransky, SG,Washington Wizards,"$2,870,813.00 "
Noah Vonleh, PF,Portland Trail Blazers,"$2,751,360.00 "
Frank Kaminsky, C,Charlotte Hornets,"$2,730,000.00 "
Dennis Schroder, PG,Atlanta Hawks,"$2,708,582.00 "
Jakob Poeltl, C,Toronto Raptors,"$2,703,960.00 "
Aaron Brooks, PG,Indiana Pacers,"$2,700,000.00 "
Elfrid Payton, PG,Orlando Magic,"$2,613,600.00 "
Justise Winslow, SF,Miami Heat,"$2,593,440.00 "
Thon Maker, PF,Milwaukee Bucks,"$2,568,600.00 "
Randy Foye, SG,Brooklyn Nets,"$2,500,000.00 "
Malcolm Delaney, G,Atlanta Hawks,"$2,500,000.00 "
Doug McDermott, SF,Oklahoma City Thunder,"$2,483,040.00 "
Myles Turner, C,Indiana Pacers,"$2,463,840.00 "
Domantas Sabonis, PF,Oklahoma City Thunder,"$2,440,200.00 "
Shelvin Mack, PG,Utah Jazz,"$2,433,334.00 "
Tony Snell, SF,Milwaukee Bucks,"$2,368,327.00 "
Gorgui Dieng, PF,Minnesota Timberwolves,"$2,348,783.00 "
Trey Lyles, PF,Utah Jazz,"$2,340,600.00 "
Mason Plumlee, C,Portland Trail Blazers,"$2,328,530.00 "
Dario Saric, SF,Philadelphia 76ers,"$2,318,280.00 "
Taurean Prince, SF,Atlanta Hawks,"$2,318,280.00 "
Tim Hardaway Jr., SG,Atlanta Hawks,"$2,281,605.00 "
Reggie Bullock, SF,Detroit Pistons,"$2,255,644.00 "
Zach LaVine, PG,Minnesota Timberwolves,"$2,240,880.00 "
Devin Booker, SG,Phoenix Suns,"$2,223,600.00 "
Luc Mbah a Moute, PF,LA Clippers,"$2,203,000.00 "
Georgios Papagiannis, C,Sacramento Kings,"$2,202,240.00 "
Mo Williams, PG,Denver Nuggets,"$2,194,500.00 "
Andre Roberson, SG,Oklahoma City Thunder,"$2,183,072.00 "
Joe Ingles, SF,Utah Jazz,"$2,150,000.00 "
TJ Warren, SF,Phoenix Suns,"$2,128,920.00 "
Rudy Gobert, C,Utah Jazz,"$2,121,288.00 "
Cameron Payne, PG,Oklahoma City Thunder,"$2,112,480.00 "
Denzel Valentine, SG,Chicago Bulls,"$2,092,200.00 "
Tim Frazier, PG,New Orleans Pelicans,"$2,090,000.00 "
Kendall Marshall, PG,Utah Jazz,"$2,048,257.00 "
Adreian Payne, PF,Minnesota Timberwolves,"$2,022,240.00 "
Kelly Oubre Jr., SF,Washington Wizards,"$2,006,640.00 "
Juan Hernangomez, PF,Denver Nuggets,"$1,987,440.00 "
Lucas Nogueira, C,Toronto Raptors,"$1,921,320.00 "
Jusuf Nurkic, C,Portland Trail Blazers,"$1,921,320.00 "
Terry Rozier, PG,Boston Celtics,"$1,906,440.00 "
James Young, SG,Boston Celtics,"$1,825,200.00 "
Rashad Vaughn, SG,Milwaukee Bucks,"$1,811,040.00 "
